name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG
Vern Fuller,325,785,67,182,33,4,14,65.0,73,172.0,6.0,6.0,1.518,1.78,3.298,6,1964,1970,0.18616666666666667
Vern Morgan,31,71,4,16,2,0,0,3.0,4,14.0,0.0,0.0,0.642,0.40900000000000003,1.0510000000000002,2,1954,1955,0.1885
Vern Spencer,45,140,15,28,2,3,0,19.0,11,17.0,4.0,3.0,0.258,0.257,0.515,1,1920,1920,0.2
Vern Stephens,1720,6497,1001,1859,307,42,247,1174.0,692,685.0,25.0,22.0,5.407,6.82,12.227,15,1941,1955,0.2965333333333333
Verne Clemons,473,1271,78,364,56,11,5,140.0,119,62.0,6.0,1.4,2.22,2.422,4.6419999999999995,7,1916,1924,0.2671428571428572
Vernon Riddick,14,42,6,8,2,0,0,6.0,0,1.0,0.0,0.0,0.361,0.444,0.8049999999999999,2,1939,1941,0.1805
Vernon Wells,1731,6642,930,1794,379,34,270,958.0,472,956.0,109.0,37.0,4.419,6.24,10.659,15,1999,2013,0.2512666666666667
Vet Dunbar,15,46,6,16,5,1,2,13.0,3,0.0,0.0,0.0,0.4,0.63,1.03,1,1937,1937,0.348
Vic Barnett,23,82,13,19,2,0,2,11.0,9,0.0,2.0,0.0,0.308,0.329,0.637,1,1944,1944,0.232
Vic Barnhart,74,204,21,55,7,0,0,19.0,10,12.0,2.0,0.0,0.9670000000000001,0.8029999999999999,1.77,3,1944,1946,0.25633333333333336
Vic Correll,410,1132,124,259,60,4,29,125.0,128,220.0,2.0,8.0,2.76,3.147,5.907,8,1972,1980,0.28475
Vic Davalillo,1458,4017,509,1122,160,37,36,329.0,212,422.0,125.0,58.0,4.757,5.3229999999999995,10.08,16,1963,1980,0.2636875
Vic Harris,1252,4127,660,1106,177,63,45,525.0,421,286.0,65.0,33.22222222222222,8.386,8.99,17.376,26,1922,1980,0.2549230769230769
Vic Janowicz,83,196,20,42,6,1,2,10.0,12,54.0,0.0,1.0,0.522,0.533,1.055,2,1953,1954,0.2015
Vic Power,1627,6046,765,1716,290,49,126,658.0,279,247.0,45.0,35.0,3.718,4.8,8.518,12,1954,1965,0.27975
Vic Roznovsky,205,455,22,99,15,1,4,38.0,32,83.0,1.0,1.0,1.345,1.328,2.673,5,1964,1969,0.2184
Vic Saier,865,2948,455,775,143,61,55,395.0,378,369.0,121.0,104.0,2.723,3.051,5.774,8,1911,1919,0.25675
Vic Wertz,1862,6099,867,1692,289,42,266,1178.0,828,842.0,9.0,19.0,5.978,7.801,13.779,17,1947,1963,0.2691764705882353
Vicente Rodriguez,119,406,55,101,10,2,2,42.0,25,1.0,4.0,0.0,0.908,0.908,1.816,3,1920,1923,0.25133333333333335
Vicente Villafane,9,33,5,9,2,0,0,2.0,0,0.0,1.0,0.0,0.273,0.333,0.606,1,1947,1947,0.273
Victor Caratini,607,1631,180,393,61,1,46,201.0,165,392.0,4.0,3.0,2.579,2.891,5.47,8,2017,2024,0.243375
Victor Diaz,147,446,62,114,25,3,24,73.0,32,135.0,6.0,2.0,1.091,1.808,2.899,4,2004,2007,0.24325
Victor Martinez,1973,7297,914,2153,423,3,246,1178.0,730,891.0,7.0,7.0,5.666,7.045999999999999,12.712,16,2002,2018,0.2915
Victor Mata,36,77,9,24,5,0,1,6.0,0,12.0,1.0,1.0,0.476,0.586,1.062,2,1984,1985,0.236
Victor Reyes,394,1214,147,321,57,17,16,107.0,49,287.0,33.0,9.0,1.463,1.888,3.351,5,2018,2022,0.263
Victor Robles,607,1839,254,455,98,11,35,182.0,130,471.0,100.0,26.0,2.624,3.12,5.744,8,2017,2024,0.25575
Victor Scott,53,145,14,26,9,0,2,10.0,6,42.0,5.0,1.0,0.219,0.283,0.502,1,2024,2024,0.179
Vidal Bruján,201,497,62,94,21,2,5,40.0,42,120.0,14.0,13.0,0.849,0.8520000000000001,1.701,4,2021,2024,0.15825
Vimael Machín,112,318,38,66,14,0,1,14.0,36,67.0,1.0,1.0,0.796,0.6499999999999999,1.446,3,2020,2022,0.18366666666666664
Vin Campbell,546,2069,326,642,85,36,15,167.0,132,156.0,92.0,0.0,1.811,2.021,3.832,6,1908,1915,0.26033333333333336
Vince Barton,102,373,64,87,12,4,16,65.0,29,62.0,1.0,0.0,0.5960000000000001,0.8029999999999999,1.399,2,1931,1932,0.23099999999999998
Vince Castino,88,215,24,49,7,0,2,23.0,25,31.0,0.0,1.0,0.9179999999999999,0.842,1.76,3,1943,1945,0.227
Vince Coleman,1371,5406,849,1425,176,89,28,346.0,477,960.0,752.0,177.0,3.969,4.141,8.11,13,1985,1997,0.24284615384615385
Vince Dailey,64,246,41,71,5,7,0,32.0,33,23.0,17.0,0.0,0.373,0.366,0.739,1,1890,1890,0.289
Vince DiMaggio,1110,3849,491,959,209,24,125,584.0,412,837.0,79.0,0.0,2.929,3.628,6.557,10,1937,1946,0.2185
Vince Shupe,78,283,22,76,8,0,0,15.0,17,16.0,3.0,0.0,0.312,0.297,0.609,1,1945,1945,0.269
Vince Ventura,18,58,4,12,0,0,0,2.0,4,4.0,0.0,0.0,0.258,0.207,0.465,1,1945,1945,0.207
Vinnie Pasquantino,264,985,113,263,57,2,38,149.0,100,136.0,2.0,0.0,1.022,1.333,2.355,3,2022,2024,0.268
Vinnie Smith,16,54,5,14,1,0,0,5.0,2,10.0,0.0,0.0,0.551,0.523,1.074,2,1941,1946,0.2465
